Outlier,comment_count,down_votes,reputation,score,up_votes,user_id,view_count,views
reputation,0,28,27410,2,727,911930,16,2700
reputation,0,28,27410,0,727,911930,16,2700
reputation,2,28,27410,0,727,911930,20,2700
reputation,1,28,27410,0,727,911930,18,2700
reputation,0,28,27410,0,727,911930,16,2700
reputation,0,28,27410,1,727,911930,10,2700
reputation,0,28,27410,0,727,911930,18,2700
reputation,0,28,27410,1,727,911930,19,2700
reputation,1,28,27410,0,727,911930,16,2700
reputation,0,28,27410,0,727,911930,19,2700
reputation,0,28,27410,0,727,911930,4,2700
reputation,0,28,27410,0,727,911930,18,2700
reputation,2,11,34006,0,1262,683553,14,1640
reputation,0,11,34006,0,1262,683553,12,1640
reputation,3,11,34006,-1,1262,683553,19,1640
reputation,0,11,34006,0,1262,683553,19,1640
reputation,0,11,34006,0,1262,683553,15,1640
reputation,0,100,31303,0,1142,153422,12,2885
reputation,2,461,187688,4,3899,324584,18,27257
reputation,7,7,31110,0,401,478144,20,2954
reputation,2,7,31110,0,401,478144,18,2954
reputation,0,7,31110,0,401,478144,14,2954
reputation,1,97,29043,1,625,898289,12,1786
reputation,1,10,52647,0,117,32484,19,3139
reputation,0,50,27417,1,971,436028,19,2815
reputation,0,50,27417,0,971,436028,20,2815
reputation,0,22,20898,0,3528,2120261,15,917
reputation,0,22,20898,1,3528,2120261,20,917
reputation,0,730,79076,0,2571,102441,17,6176
reputation,2,730,79076,0,2571,102441,13,6176
reputation,0,730,79076,1,2571,102441,19,6176
reputation,0,730,79076,0,2571,102441,14,6176
reputation,0,16,35728,1,647,274,20,1930
reputation,0,16,35728,0,647,274,18,1930
reputation,0,53,22546,0,455,11755,20,2372
reputation,2,53,22546,0,455,11755,14,2372
reputation,1,53,22546,0,455,11755,16,2372
reputation,0,53,22546,-1,455,11755,18,2372
reputation,0,53,22546,0,455,11755,18,2372
reputation,0,53,22546,0,455,11755,13,2372
reputation,0,53,22546,0,455,11755,10,2372
reputation,0,53,22546,1,455,11755,14,2372
reputation,0,53,22546,0,455,11755,14,2372
reputation,1,53,22546,0,455,11755,15,2372
reputation,1,53,22546,0,455,11755,20,2372
reputation,0,53,22546,1,455,11755,17,2372
reputation,1,53,22546,-1,455,11755,15,2372
reputation,3,53,22546,0,455,11755,16,2372
reputation,0,53,22546,0,455,11755,20,2372
reputation,0,53,22546,0,455,11755,18,2372
reputation,0,1480,96868,0,2385,14357,20,8583
reputation,1,1480,96868,0,2385,14357,12,8583
reputation,0,21,17784,0,142,48886,19,1254
reputation,0,283,16763,0,1425,39643,10,1393
reputation,0,283,16763,0,1425,39643,13,1393
views,0,66,31307,0,637,47775,18,2689
views,0,348,25678,0,601,1153938,10,1440
views,0,1022,47168,0,7845,13744,12,3339
views,0,3624,19668,2,2290,70345,20,2877
views,0,272,63153,0,2547,16511,15,4808
views,0,572,55945,0,2228,37947,19,3541
views,0,46,48375,1,1526,11898,17,2398
views,0,46,48375,1,1526,11898,16,2398
